"Metabolite","Original_Metabolite_Name","Within.Person_Beta","Within.Person_SE","Within.Person_P","Within.Person_P_fdr"
"C8_QI1850",NA,0.00230291052387092,0.00987581943378336,0.815627255254692,0.908841798712371
"C8_LPC.17.0.0.0","LPC 17:0/0:0",-0.000154215628070998,0.0097669359068056,0.987402972222188,0.987402972222188
"C8_TG.54.3","TG 54:3",-0.0290167500201704,0.00933756483656079,0.0018981764090388,0.0740288799525131
"C8_QI12040",NA,0.00318621004947423,0.00970575129525029,0.742714470876227,0.870424250370218
"C8_QI11962",NA,0.00196334527822521,0.00980598582379216,0.841318232633958,0.924265100640123
"C8_QI11946",NA,-0.000481627075965771,0.0087984458218411,0.956348011964867,0.968768116016358
"C8_QI295",NA,-0.0161097951081212,0.00887676065357336,0.0696160432151743,0.293540963601124
"C8_QI11950",NA,0.0037066379183853,0.00898111844219237,0.679835375765189,0.828549364213824
"C8_QI303",NA,-0.017517277879721,0.00959932161943422,0.0680895756159571,0.293540963601124
"C8_QI300",NA,-0.0119756323508026,0.00890030457484022,0.178521548871383,0.449183251998964
"C8_QI11918",NA,0.000845858294322859,0.00936522128593809,0.928037616994481,0.968768116016358
"C8_QI320",NA,0.000590988314647044,0.0093662355292392,0.949691440801387,0.968768116016358
"C8_QI357",NA,0.00150374181873736,0.00915924937118283,0.869598810962009,0.942065378542177
"C8_QI11802",NA,0.00644061407113867,0.00964988996674864,0.504532075630911,0.728768553689094
"C8_QI11801",NA,0.00553041651145739,0.00966796239122691,0.567326312343143,0.782828284421738
"C8_QI502",NA,-0.0216120610296925,0.00962500431976496,0.0247897973368874,0.214844910253024
"C8_QI11640",NA,-0.0130948107390572,0.00879169446431376,0.136437784247332,0.398348149932445
"C8_QI620",NA,0.000589809382779312,0.00952471835214148,0.950625998054975,0.968768116016358
"C8_QI605",NA,-0.00386625509186395,0.00888813547846067,0.663589912267176,0.824639617467154
"C8_QI11635",NA,-0.0130102741726781,0.00932203250524047,0.162888522586077,0.4235101587238
"C8_QI607",NA,-0.0085786189137936,0.00944712886802631,0.363891515441168,0.60390506817896
"C8_QI608",NA,-0.0218501621498238,0.00899357317509464,0.015157072802644,0.168893096943747
"C8_QI611",NA,-0.0137184756842051,0.00924453510196494,0.137889744207385,0.398348149932445
"C8_QI659",NA,-0.00401642387101922,0.00911915635975291,0.659640799529528,0.824639617467154
"C8_QI699",NA,-0.0192896035034212,0.00980911184574002,0.0493021851055983,0.274683602731191
"C8_QI791",NA,-0.0113260422101226,0.00930298240602917,0.223490781810503,0.48423002725609
"C8_QI11467",NA,-0.0153827583995515,0.00853322910151767,0.071503568056684,0.293540963601124
"C8_QI11450",NA,-0.0144711765282766,0.00936119708456037,0.122205879369503,0.382775393248166
"C8_QI11446",NA,-0.0251294755973105,0.00918969926195379,0.00627110173815183,0.122286483893961
"C8_QI879",NA,-0.00980546711473869,0.0092982255274971,0.291685630997123,0.541701886137514
"C8_QI887",NA,0.00648629130930386,0.00948762933686051,0.494226148588065,0.727351690374887
"C8_QI11354",NA,-0.000747581976339769,0.00940326424874826,0.936636528712302,0.968768116016358
"C8_QI11299",NA,-0.00542945878577834,0.00972351695762382,0.576610158552132,0.782828284421738
"C8_QI11274",NA,-0.0108622682353115,0.00951576000597115,0.25372014838035,0.494754289341683
"C8_QI11207",NA,-0.00379803071808954,0.00997444733804659,0.703387703447222,0.844065244136667
"C8_QI11062",NA,-0.00707828404933787,0.00974893351253679,0.467840983123994,0.715521503601403
"C8_QI1170",NA,-0.0121366735480971,0.00855237104039938,0.155938734344115,0.41942142340831
"C8_QI1202",NA,-0.00895320421631304,0.00960873701316297,0.351501247253651,0.596023854038799
"C8_QI1244",NA,-0.014201408713404,0.0097645505502048,0.145908361981288,0.406459008376445
"C8_QI10998",NA,-0.0223761547346735,0.00955024773310215,0.0191724172250687,0.18693106794442
"C8_QI1352",NA,-0.0171266966953287,0.00932200310791561,0.0662400943309674,0.293540963601124
"C8_QI10837",NA,-0.0194814465710212,0.00979975852823554,0.046876396841613,0.274683602731191
"C8_QI1410",NA,-0.0139784428042188,0.00905401685677986,0.122684420912874,0.382775393248166
"C8_QI1471",NA,-0.00440650716579351,0.00924258427442327,0.633555235713051,0.823621806426966
"C8_QI10726",NA,-0.0052533307745107,0.00980507968044216,0.592139343344648,0.782828284421738
"C8_QI1514",NA,-0.00246983915943897,0.00885716570223042,0.780371000228852,0.882158521997832
"C8_QI10722",NA,-0.0140177162506511,0.00897623201335358,0.118440895293875,0.382775393248166
"C8_QI1560",NA,-0.0135261048025113,0.00869838667532045,0.120012981452124,0.382775393248166
"C8_QI10686",NA,0.0106341059522853,0.00928380562803908,0.252084756906596,0.494754289341683
"C8_QI10680",NA,-0.0142787618097128,0.00858858429499511,0.0964764930611304,0.358341259941342
"C8_QI1567",NA,-0.00760290921071087,0.00884632385370408,0.390142130383223,0.633980961872737
"C8_QI10448",NA,-0.0101732855996562,0.00925948218151933,0.271962712006479,0.51739247650013
"C8_QI10423",NA,-0.00462469641323764,0.00846144053114461,0.584707472426187,0.782828284421738
"C8_QI1817",NA,-0.00865377965740793,0.00882872786951371,0.327048580120678,0.593250912777043
"C8_QI10392",NA,0.00295370261046155,0.00958490093737401,0.757973588469254,0.870424250370218
"C8_QI1950",NA,-0.00920215924659485,0.00965749953809702,0.340716071113753,0.596023854038799
"C8_QI10256",NA,-0.00533378595481606,0.00937347642966573,0.569364030845411,0.782828284421738
"C8_QI1958",NA,-0.00759956007286026,0.00958362050442346,0.427834348598948,0.667421583814358
"C8_QI1990",NA,-0.0119741364567713,0.00967413352284973,0.215874110894814,0.481090875708443
"C8_QI10254",NA,-0.00391859021987034,0.0090792901401033,0.666055075646547,0.824639617467154
"C8_QI2028",NA,-0.012125598063513,0.0093033786303076,0.192519760787769,0.455046707316544
"C8_QI2157",NA,-0.0062285249343199,0.00903206406707372,0.490479933932552,0.727351690374887
"C8_QI2158",NA,-0.0122445762216775,0.00929122745825143,0.187615439162957,0.455046707316544
"C8_QI10083",NA,-0.00776799496100949,0.00937315985297404,0.407289806439303,0.648338875556442
"C8_QI9990",NA,-0.0168343684551019,0.00915468172644257,0.0659989165026345,0.293540963601124
"C8_QI9619",NA,-0.0288534537843894,0.0105028241792418,0.00603676797370218,0.122286483893961
"C8_QI2685",NA,-0.0101825439362242,0.00859935709211905,0.236433477864221,0.485310822984453
"C8_QI9453",NA,-0.0185041605144752,0.0093487604111145,0.0478404452425053,0.274683602731191
"C8_QI2905",NA,-0.00268487920013479,0.00874455909281921,0.758831397758652,0.870424250370218
"C8_QI9336",NA,-0.0104114891974534,0.00877784964451917,0.235641123811249,0.485310822984453
"C8_QI8758",NA,-0.00788220930378975,0.00834815629026873,0.345124932828306,0.596023854038799
"C8_QI3552",NA,-0.0195843882751455,0.00952872968834167,0.0399068075338797,0.274683602731191
"C8_QI8611",NA,-0.0118675059686636,0.00939237762812549,0.206464706633061,0.473654326981728
"C8_QI8521",NA,-0.0189079358858846,0.00885292720014624,0.0327499345409964,0.255449489419772
"C8_QI7126",NA,-0.0220338615538644,0.00902247540071963,0.0146394669491556,0.168893096943747
"C8_QI5232",NA,-0.0219695649194831,0.00885833069473627,0.0131705840472172,0.168893096943747
"C8_QI5367",NA,-0.0342720274025853,0.00929706931045248,0.000230158455290032,0.0179523595126225
"HILIC_QI14974",NA,-0.0126634486370894,0.00727447955732695,0.081787042716011,0.318969466592443
